"Predicted_Units_Sold","Predicted_Total_Revenue","Predicted_Total_Profit"
8368.79616835131,8445.92301056431,8445.92301056431
3967.37830560913,4089.95961377836,4089.95961377836
3829.4974061416,3945.87533055481,3945.87533055481
5454.34741878704,5558.35486914318,5558.35486914318
7719.91381726928,7795.83968234059,7795.83968234059
4515.27212994208,4625.07544794361,4625.07544794361
3284.39922373945,3411.88629308019,3411.88629308019
4824.62168516066,4950.81024880998,4950.81024880998
5957.22527872459,6062.62656597752,6062.62656597752
3280.52227639612,3411.00731991391,3411.00731991391
5297.44201770886,5426.01051622603,5426.01051622603
3266.83854622681,3393.66749240299,3393.66749240299
6889.56607912752,6981.93821787531,6981.93821787531
4512.95404433786,4649.26165930587,4649.26165930587
3302.78796851612,3430.69934404358,3430.69934404358
5532.35439853422,5643.89214011789,5643.89214011789
5097.45857752745,5219.18208518978,5219.18208518978
5217.07951335367,5344.05584296262,5344.05584296262
4103.54983195346,4242.30405760934,4242.30405760934
3526.4167888939,3661.00556574708,3661.00556574708
4358.32138863557,4478.9109194662,4478.9109194662
3292.58503035547,3414.77850084512,3414.77850084512
4276.17500858936,4411.90182170062,4411.90182170062
3262.20848067774,3391.01513946683,3391.01513946683
4637.87493659813,4754.06671710751,4754.06671710751
4077.11223053372,4198.38955433818,4198.38955433818
7150.08636521321,7230.48789690736,7230.48789690736
7074.98405039223,7171.01513322675,7171.01513322675
3633.70602033889,3764.12482508698,3764.12482508698
4592.67285894827,4716.37574654112,4716.37574654112
3301.2793286256,3431.46704531242,3431.46704531242
9320.33511357636,9384.64491996818,9384.64491996818
8046.64146969998,8135.33866783017,8135.33866783017
4930.51083388984,5056.23997934989,5056.23997934989
5140.24389293566,5259.98802498613,5259.98802498613
3743.14364927067,3870.64416802148,3870.64416802148
4317.67816424704,4451.19296549372,4451.19296549372
3328.62163532722,3472.06684192081,3472.06684192081
6424.30696767053,6537.48411632202,6537.48411632202
9446.66091789786,9524.84967293976,9524.84967293976
4514.73992698127,4647.54709060132,4647.54709060132
3678.14687727464,3810.54263493114,3810.54263493114
6825.72852045363,6936.9409017887,6936.9409017887
3365.91911571185,3496.96763156582,3496.96763156582
4094.65225889265,4227.11758533066,4227.11758533066
4348.28772483476,4485.19162395545,4485.19162395545
6432.19247237666,6542.31799639584,6542.31799639584
3619.47218251901,3738.31408150046,3738.31408150046
3796.98814110514,3918.78095851767,3918.78095851767
7177.16843394854,7282.03474220052,7282.03474220052
5741.50664810791,5843.32719417157,5843.32719417157
5736.43535352121,5852.73896031989,5852.73896031989
3785.89817305163,3911.7838458008,3911.7838458008
5277.02652288528,5384.31520860047,5384.31520860047
5704.52851810806,5807.47356451332,5807.47356451332
5163.19273416093,5273.38252592496,5273.38252592496
9313.20703286324,9398.90959228842,9398.90959228842
4781.84666912089,4887.15560612482,4887.15560612482
3248.89560787691,3392.54140314801,3392.54140314801
